iter	Passed	Remaining
239	2786	16368
240	2804	16394
241	2821	16418
242	2838	16437
243	2857	16466
244	2874	16487
245	2891	16502
246	2892	16431
247	2911	16459
248	2932	16497
249	2949	16518
250	2964	16524
251	2976	16511
252	2980	16460
253	2988	16425
254	3003	16430
255	3022	16458
256	3025	16401
257	3043	16422
258	3060	16435
259	3074	16434
260	3088	16435
261	3094	16391
262	3111	16407
263	3130	16437
264	3132	16370
265	3146	16372
266	3168	16410
267	3183	16415
268	3197	16415
269	3210	16408
270	3225	16414
271	3241	16422
272	3256	16424
273	3271	16426
274	3290	16451
275	3310	16482
276	3329	16502
277	3344	16503
278	3362	16523
279	3377	16524
280	3394	16536
281	3414	16565
282	3430	16569
283	3447	16581
284	3462	16583
285	3481	16602
286	3500	16625
287	3520	16650
288	3534	16646
289	3540	16604
290	3557	16612
291	3576	16634
292	3578	16575
293	3594	16577
294	3611	16586
295	3624	16578
296	3641	16588
297	3656	16588
298	3674	16602
299	3690	16608
300	3709	16623
301	3724	16623
302	3738	16620
303	3740	16561
304	3759	16578
305	3775	16581
306	3779	16533
307	3796	16540
308	3814	16553
309	3831	16562
310	3847	16565
311	3861	16561
312	3880	16575
313	3899	16592
314	3900	16531
315	3917	16538
316	3918	16477
317	3937	16494
318	3956	16509
319	3973	16514
320	3977	16469
321	3994	16475
322	4012	16486
323	4028	16485
324	4045	16493
325	4061	16496
326	4078	16501
327	4093	16497
328	4110	16503
329	4124	16497
330	4141	16504
331	4161	16521
332	4177	16521
333	4192	16520
334	4211	16532
335	4228	16535
336	4242	16529
337	4257	16525
338	4276	16538
339	4296	16554
340	4316	16567
341	4333	16575
342	4352	16584
343	4368	16586
344	4389	16603
345	4408	16613
346	4426	16623
347	4447	16638
348	4461	16631
349	4483	16651
350	4484	16595
351	4502	16601
352	4522	16617
353	4542	16631
354	4562	16644
355	4577	16639
356	4582	16596
357	4601	16608
358	4622	16622
359	4639	16625
360	4656	16626
361	4671	16620
362	4685	16613
363	4703	16616
364	4723	16628
365	4740	16629
366	4756	16629
367	4771	16623
368	4791	16634
369	4794	16584
370	4813	16593
371	4832	16602
372	4850	16607
373	4868	16609
374	4886	16615
375	4905	16622
376	4921	16618
377	4923	16568
378	4942	16574
379	4959	16576
380	4979	16586
381	4997	16588
382	5016	16595
383	5020	16550
384	5037	16551
385	5055	16555
386	5077	16570
387	5093	16565
388	5111	16569
389	5128	16570
390	5144	16563
391	5163	16572
392	5182	16575
393	5200	16577
394	5203	16531
395	5223	16539
396	5224	16490
397	5245	16499
398	5247	16453
399	5252	16413
400	5272	16423
401	5293	16434
402	5309	16429
403	5328	16435
404	5344	16429
405	5359	16422
406	5378	16424
407	5395	16425
408	5412	16422
409	5431	16426
410	5449	16426
411	5451	16380
412	5466	16374
